Date,Open,High,Low,Close,Adj Close,Volume
2019-11-05,22.650000,22.799999,22.500000,22.549999,21.365990,1921500
2019-11-06,22.600000,22.900000,22.549999,22.549999,21.365990,3846425
2019-11-07,22.600000,22.600000,22.299999,22.549999,21.365990,2241500
2019-11-08,22.549999,22.750000,22.400000,22.600000,21.413366,1622373
2019-11-11,22.450001,22.450001,21.500000,21.600000,20.465872,5376969
2019-11-12,21.600000,22.000000,21.600000,21.850000,20.702745,1592502
2019-11-13,21.850000,21.850000,21.700001,21.850000,20.702745,779030
2019-11-14,22.299999,23.450001,22.250000,22.950001,21.744989,21276171
2019-11-15,23.150000,23.650000,23.049999,23.250000,22.029236,15462392
2019-11-18,23.400000,23.650000,23.100000,23.150000,21.934486,6006562
2019-11-19,23.200001,23.350000,23.049999,23.350000,22.123985,3456442
2019-11-20,23.350000,23.400000,23.150000,23.150000,21.934486,2533361
2019-11-21,23.000000,23.299999,22.750000,23.250000,22.029236,3748870
2019-11-22,23.299999,23.450001,23.200001,23.400000,22.171360,3550059
2019-11-25,23.700001,24.000000,23.600000,23.700001,22.455608,7350102
2019-11-26,23.799999,24.000000,23.600000,24.000000,22.739857,8552838
2019-11-27,24.299999,24.799999,24.100000,24.350000,23.071480,11350694
2019-11-28,24.350000,24.350000,23.900000,23.900000,22.645107,4787900
2019-11-29,24.000000,24.000000,23.400000,23.600000,22.360859,5022794
2019-12-02,23.600000,23.750000,23.299999,23.500000,22.266109,2340888
2019-12-03,23.350000,23.650000,23.299999,23.549999,22.313484,1493500
2019-12-04,23.600000,23.600000,23.400000,23.549999,22.313484,1444264
2019-12-05,23.650000,23.900000,23.549999,23.600000,22.360859,3035727
2019-12-06,23.600000,23.799999,23.400000,23.700001,22.455608,2720421
2019-12-09,23.900000,24.150000,23.750000,23.900000,22.645107,6068299
2019-12-10,23.850000,24.200001,23.750000,24.049999,22.787231,3415602
2019-12-11,24.049999,24.200001,24.000000,24.200001,22.929356,3737344
2019-12-12,24.250000,24.350000,23.900000,23.950001,22.692482,5197700
2019-12-13,24.000000,24.049999,23.600000,23.600000,22.360859,3909786
2019-12-16,23.700001,24.049999,23.450001,23.750000,22.502983,2021
2019-12-17,23.750000,23.900000,23.600000,23.799999,22.550358,2401687
2019-12-18,23.900000,24.100000,23.700001,23.750000,22.502983,2966505
2019-12-19,23.750000,23.950001,23.600000,23.850000,22.597733,2255268
2019-12-20,23.950001,24.000000,23.799999,23.799999,22.550358,1642450
2019-12-23,23.850000,23.950001,23.799999,23.850000,22.597733,1171473
2019-12-24,23.950001,24.150000,23.850000,23.950001,22.692482,3015381
2019-12-25,23.950001,24.250000,23.900000,24.049999,22.787231,3265500
2019-12-26,24.150000,24.200001,24.000000,24.049999,22.787231,1745015
2019-12-27,24.250000,24.299999,24.100000,24.200001,22.929356,2035719
2019-12-30,24.299999,24.900000,24.299999,24.500000,23.213604,8319999
2019-12-31,24.450001,24.500000,24.100000,24.150000,22.881981,3221653
2020-01-02,24.299999,24.600000,24.299999,24.400000,23.118855,3296412
2020-01-03,24.650000,24.700001,24.049999,24.250000,22.976730,4062453
2020-01-06,24.200001,24.200001,23.950001,23.950001,22.692482,2886820
2020-01-07,24.000000,24.100000,23.500000,23.799999,22.550358,3113030
2020-01-08,23.600000,24.049999,23.549999,23.600000,22.360859,2681311
2020-01-09,23.850000,24.049999,23.799999,23.950001,22.692482,1929949
2020-01-10,24.150000,24.150000,23.950001,24.100000,22.834606,1877440
2020-01-13,24.250000,24.950001,24.100000,24.850000,23.545227,8969745
2020-01-14,25.100000,25.400000,24.799999,25.000000,23.687351,7608671
2020-01-15,25.000000,25.250000,24.799999,25.150000,23.829475,4535734
2020-01-16,25.400000,25.600000,25.150000,25.250000,23.924225,7007882
2020-01-17,25.299999,25.350000,25.000000,25.100000,23.782101,3426618
2020-01-20,25.250000,25.500000,25.250000,25.350000,24.018974,4100063
2020-01-30,23.549999,23.900000,22.850000,22.850000,21.650238,10166198
2020-01-31,22.900000,23.299999,22.700001,23.299999,22.076611,5512796
2020-02-03,22.000000,22.600000,21.600000,22.500000,21.318615,5053011
2020-02-04,23.700001,23.700001,22.799999,22.799999,21.602863,2767069
2020-02-05,22.900000,22.950001,22.400000,22.500000,21.318615,4095199
2020-02-06,23.200001,23.400000,23.049999,23.350000,22.123985,7611100
2020-02-07,23.100000,23.250000,22.850000,22.950001,21.744989,3336100
2020-02-10,22.700001,22.799999,22.250000,22.650000,21.460739,2435496
2020-02-11,22.900000,23.100000,22.900000,23.100000,21.887112,1965300
2020-02-12,23.200001,23.299999,23.049999,23.250000,22.029236,3535057
2020-02-13,23.549999,23.650000,23.299999,23.350000,22.123985,4790579
2020-02-14,23.350000,23.650000,23.299999,23.549999,22.313484,2339073
2020-02-17,23.500000,24.200001,23.400000,24.049999,22.787231,5965253
2020-02-18,23.900000,24.299999,23.850000,24.100000,22.834606,4024604
2020-02-19,24.350000,24.500000,24.200001,24.350000,23.071480,4575297
2020-02-20,24.549999,24.750000,24.350000,24.500000,23.213604,6879681
2020-02-21,24.600000,24.650000,24.350000,24.350000,23.071480,3040824
2020-02-24,24.049999,24.250000,23.950001,24.049999,22.787231,3098526
2020-02-25,23.650000,24.150000,23.549999,24.049999,22.787231,2662102
2020-02-26,23.900000,24.049999,23.750000,23.950001,22.692482,2130500
2020-02-27,23.950001,24.100000,23.299999,23.350000,22.123985,4249962
2020-03-02,22.900000,23.650000,22.799999,23.100000,21.887112,3499293
2020-03-03,23.600000,23.700001,23.299999,23.299999,22.076611,1603689
2020-03-04,23.299999,23.299999,23.000000,23.100000,21.887112,2071454
2020-03-05,23.250000,23.500000,23.200001,23.299999,22.076611,1552302
2020-03-06,23.350000,23.400000,22.850000,22.950001,21.744989,3002131
2020-03-09,22.799999,22.799999,22.000000,22.049999,20.892242,4607030
2020-03-10,21.600000,22.000000,21.299999,21.850000,20.702745,4912238
2020-03-11,21.900000,22.100000,21.200001,21.299999,20.181622,2794360
2020-03-12,21.000000,21.000000,19.850000,19.900000,18.855131,5026511
2020-03-13,18.750000,19.100000,17.950001,18.799999,17.812887,5836251
2020-03-16,18.850000,19.200001,18.150000,18.250000,17.291765,3334038
2020-03-17,16.600000,17.950001,16.600000,17.400000,16.486395,4215513
2020-03-18,17.600000,17.799999,17.000000,17.000000,16.107399,2436920
2020-03-19,16.799999,16.900000,15.300000,15.350000,14.544034,6617833
2020-03-20,16.100000,16.850000,16.000000,16.850000,15.965275,3568176
2020-03-23,16.150000,16.350000,15.500000,16.100000,15.254654,2185581
2020-03-24,16.549999,17.150000,16.500000,16.900000,16.012650,2537980
2020-03-25,17.950001,18.000000,17.600000,17.700001,16.770645,3172922
2020-03-26,17.850000,17.850000,17.150000,17.700001,16.770645,2929178
2020-03-27,18.549999,19.100000,18.100000,18.200001,17.244392,8119928
2020-03-30,17.900000,18.100000,17.650000,18.049999,17.102266,1803270
2020-03-31,18.500000,18.500000,17.850000,17.950001,17.007519,1819022
2020-04-01,18.000000,18.200001,17.799999,18.100000,17.149643,1539500
2020-04-06,18.200001,18.350000,17.950001,18.299999,17.339140,1521137
2020-04-07,18.600000,18.750000,18.350000,18.650000,17.670763,3245521
2020-04-08,18.549999,19.250000,18.549999,19.250000,18.239260,3166428
2020-04-09,19.250000,19.650000,19.000000,19.100000,18.097136,3677391
2020-04-10,19.100000,19.350000,18.950001,19.200001,18.191887,1447255
2020-04-13,19.450001,19.850000,19.400000,19.799999,18.760382,7109114
2020-04-14,19.799999,20.000000,19.650000,20.000000,18.949881,3301047
2020-04-15,20.150000,20.400000,20.000000,20.100000,19.044630,3038509
2020-04-16,19.799999,20.100000,19.700001,20.000000,18.949881,1717605
2020-04-17,20.299999,20.450001,19.850000,19.900000,18.855131,3565030
2020-04-20,19.900000,20.049999,19.799999,19.799999,18.760382,1622162
2020-04-21,19.799999,19.900000,19.100000,19.200001,18.191887,2625089
2020-04-22,18.900000,19.500000,18.799999,19.299999,18.286634,1019153
2020-04-23,19.450001,19.799999,19.299999,19.750000,18.713007,2034242
2020-04-24,20.200001,20.299999,20.000000,20.100000,19.044630,4762319
2020-04-27,20.200001,20.250000,20.049999,20.200001,19.139380,1909635
2020-04-28,20.250000,20.350000,20.150000,20.299999,19.234129,1692003
2020-04-29,20.400000,20.700001,20.350000,20.500000,19.423628,2290330
2020-04-30,20.700001,21.000000,20.549999,20.900000,19.802626,3460703
2020-05-04,20.500000,20.700001,20.400000,20.500000,19.423628,1726427
2020-05-05,20.600000,20.700001,20.350000,20.500000,19.423628,1895043
2020-05-06,20.500000,20.650000,20.350000,20.500000,19.423628,1718307
2020-05-07,20.650000,21.200001,20.500000,21.200001,20.086874,2085578
2020-05-08,21.049999,21.049999,20.400000,20.400000,19.328878,7255874
